date,open,high,low,close,volume,taker_buy_volume,pvsra_label,rsi,target,dxy
2023-10-04 23:00:00,27752.75,27831.51,27752.74,27778.57,964.12598,530.59328,bull100,60.064490780257074,hold,106.8000030517578
2023-10-05 00:00:00,27778.57,27896.07,27722.44,27811.78,1186.91632,694.86702,bull100,70.98234899828694,sell,106.33000183105467
2023-10-05 01:00:00,27811.79,27812.41,27688.22,27732.16,889.76376,420.81021,bear100,61.27097475267782,hold,106.33000183105467
2023-10-05 02:00:00,27732.15,27738.13,27660.89,27677.67,621.91168,300.32199,bear100,57.07599879053976,hold,106.33000183105467
2023-10-05 03:00:00,27677.67,27709.53,27650.01,27651.73,437.85462,224.73402,bear100,68.20088282882227,hold,106.33000183105467
2023-10-05 04:00:00,27651.73,27698.25,27638.36,27692.91,503.48328,299.90608,bull100,73.72927362690214,hold,106.33000183105467
2023-10-05 05:00:00,27692.91,27702.2,27641.3,27641.31,482.42741,230.12382,bear100,67.45799154676537,hold,106.33000183105467
2023-10-05 06:00:00,27641.31,27665.0,27609.7,27660.75,797.29853,424.39447,bull100,61.81152031522736,hold,106.33000183105467
2023-10-05 07:00:00,27660.75,27660.76,27550.77,27607.98,881.88804,426.05424,bear100,55.55808101306936,buy,106.33000183105467
2023-10-05 08:00:00,27607.98,27666.0,27593.23,27649.63,572.38292,320.64578,bull100,51.94930576278352,buy,106.33000183105467
2023-10-05 09:00:00,27649.62,27725.96,27635.38,27684.68,769.65236,401.24267,bull100,55.59101138692032,hold,106.33000183105467
2023-10-05 10:00:00,27684.67,27746.83,27661.13,27736.98,722.84958,340.2752,bull100,57.13313014720191,sell,106.33000183105467
2023-10-05 11:00:00,27736.98,27774.55,27702.61,27725.68,828.63558,378.77864,bear100,53.30973870929508,sell,106.33000183105467
2023-10-05 12:00:00,27725.68,27763.59,27677.33,27724.35,1016.38611,529.09263,bear150,47.29883964238144,sell,106.33000183105467
2023-10-05 13:00:00,27724.36,28099.0,27724.35,27992.76,4134.83161,2248.84266,bull200,63.939397883611626,sell,106.33000183105467
2023-10-05 14:00:00,27992.76,28120.39,27924.98,27960.61,2789.65187,1417.04544,bear200,59.69917756083589,sell,106.33000183105467
2023-10-05 15:00:00,27960.61,27970.0,27403.59,27555.0,5205.12716,2324.96401,bear200,41.89733082087776,hold,106.33000183105467
2023-10-05 16:00:00,27555.0,27617.57,27363.93,27446.63,2905.58515,1306.94941,bear150,39.92938715020494,hold,106.33000183105467
2023-10-05 17:00:00,27446.63,27535.89,27352.0,27483.43,1618.72817,818.27999,bull100,42.73290959964075,hold,106.33000183105467
2023-10-05 18:00:00,27483.43,27535.52,27416.26,27495.08,1155.62395,535.50534,bull100,41.23428125803113,hold,106.33000183105467
2023-10-05 19:00:00,27495.08,27525.0,27432.12,27471.28,727.90736,329.77043,bear100,42.2757875035206,hold,106.33000183105467
2023-10-05 20:00:00,27471.28,27500.58,27410.0,27472.65,716.96427,342.74684,bull100,41.312259828554645,hold,106.33000183105467
2023-10-05 21:00:00,27472.65,27509.45,27450.0,27450.0,434.71549,178.56057,bear100,42.494584014290666,hold,106.33000183105467
2023-10-05 22:00:00,27450.01,27468.2,27388.0,27435.26,814.71015,305.47497,bear100,39.54833110684225,hold,106.33000183105467
2023-10-05 23:00:00,27435.26,27460.5,27400.11,27410.39,466.20082,186.60762,bear100,36.49283498301082,hold,106.33000183105467
2023-10-06 00:00:00,27410.39,27470.0,27389.99,27457.17,933.17701,416.84357,bull100,36.14568788806037,hold,106.04000091552734
2023-10-06 01:00:00,27457.17,27542.49,27453.44,27516.87,897.58346,504.09906,bull100,40.13399733517289,hold,106.04000091552734
2023-10-06 02:00:00,27516.88,27590.0,27516.51,27541.63,923.89591,460.11049,bull100,41.55372298134367,hold,106.04000091552734
2023-10-06 03:00:00,27541.63,27577.0,27530.85,27559.2,438.61026,222.35339,bull100,23.907705640211237,hold,106.04000091552734
